Index,source,zero_shot,maats,single_agent,reference
90,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).",出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的日常设备是Android设备，所以我很少使用iPhone）。,出于好奇，我在我的测试iPhone设备上比较Google地图和Apple地图的表现。我的日常设备是Android设备，所以我很少使用iPhone。,出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的主力设备是Android设备，所以我很少使用iPhone）。,出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
91,No idea.,不知道。,我也不清楚。,不知道。,不太明白。
92,Could it be that Google Search is integrated with Google Maps?,谷歌搜索是否与谷歌地图集成在一起？,谷歌搜索会不会与谷歌地图整合？,谷歌搜索是否与谷歌地图集成在一起？,会不会是谷歌搜索和谷歌地图整合在一起造成的？
93,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.",我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出的Apple Maps时彻底搞砸了。,我不愿意向最终用户发布劣质产品。苹果在2012年推出的苹果地图时严重失误。,我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出Apple Maps时彻底搞砸了。,我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
94,The house itself declines in value because it loses its condition and needs to be replaced.,房屋本身的价值下降，因为它的状况变差，需要更换。,房屋本身的价值下降，因为它的状况变差，需要修缮。,房屋本身的价值下降，因为它的状况变差，需要更换。,房子本身的价值会不断下降，因为它的优越性会逐渐失去，然后就需要用其它房子取而代之。
95,They're not stupid enough to sell the sell forever.,他们还不至于愚蠢到永远出售。,他们还不至于愚蠢到会一直推销下去。,他们还不至于愚蠢到永远重复出售。,他们不会蠢到卖掉它的永久所有权。
96,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,当你观看澳大利亚和美国的媒体频道时，土地有一天可能会被收回，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想按照他们的方式思考。,当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
97,"To all the investors out there, I raise a toast to your success and the realization of your dreams.",向所有投资者致敬，祝贺你们的成功和梦想的实现。,向所有投资者举杯，祝贺你们的成功和梦想的实现。,向所有投资者致敬，祝贺你们的成功和梦想的实现。,在场的所有投资者们，我为你们的成功和梦想的实现干杯。
98,Let us continue to work together towards creating a brighter future for all.,让我们继续携手共创更加光明的未来。,让我们继续携手共创更加光明的未来，为所有人创造更美好的未来。,让我们继续携手共创更加光明的未来。,让我们继往开来，为所有人创造一个更加光明的未来。
99,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,我常常对人类能如此自我贬低感到惊讶，同时又被大量关于真正残酷的证据所淹没。,我常常思考人类为何能如此自我贬低，尽管有那么多关于真正残酷的证据摆在面前。,我常常对人类能如此严厉地自我批评感到惊讶，同时又被大量关于真正残酷的证据所淹没。,我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
100,We're all such messy critters.,我们都是如此混乱的小动物。,我们都是一群乱糟糟的小家伙。,我们都是如此邋遢的小动物。,我们都很邋遢。
101,"or ""Modal editors are useless today"" :morty:",或者“模式编辑器今天没用” :morty:,或者《模式编辑器今天毫无用处》 :morty:,或者“模态编辑器今天没用” :morty:,或者“模态编辑器现在没有用武之地了”:morty:
102,How would you share personal libraries?,你会如何分享个人图书馆？,你会怎样分享你的个人藏书？,你会如何分享个人书籍收藏？,你是怎么共享个人库的？
103,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",还有一天，我一定要尝试空中高空高潮，也许不需要一个str。,有一天我一定要尝试在飞机上达到高潮，也许不需要一个特定的人。,有一天，我一定要尝试高空高潮，也许不需要一个伴侣。,总有一天我会达到一英里高的高潮，也许不是靠力气
104,I don't agree that #Mastodon is difficult to setup.,我不同意 #Mastodon 很难设置。,我不同意#Mastodon很难安装。,我不同意 #Mastodon 很难设置。,我认为 #Mastodon 设置起来不难。
105,"I wish there was a ""who to follow"" recommendation somehow.",我希望能有一个“推荐关注”的功能。,我希望能有一个推荐关注的功能。,我希望能有一个“关注谁”的推荐功能。,不知何故，关于“关注谁”，我想听一些建议。
106,If you stick to the default web interface it doesn't look and feel good (imho).,如果你坚持使用默认的网页界面，它看起来和感觉都不好（仅代表个人意见）。,如果你坚持使用默认的网页界面，它的外观和使用体验都不好，仅供参考。,如果你坚持使用默认的网页界面，它看起来和感觉都不好（仅代表个人意见）。,如果你坚持默认的网络界面，外观和感觉都不是很好。
107,Explanation: account for both sides of mutual influence,解释：考虑到相互影响的双方。,解释：考虑到互相影响的双方因素。,解释：说明相互影响的双方。,解释：将双方之间的相互影响纳入考量
108,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.",即使他在市政厅上没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,即使他在市政厅会议上没有机会说出来，从现在到2024年11月之间，美国的每个人无论如何都会反复听到这些话。,即使他在市政厅活动期间没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
109,Throwing everything you've got over the fence in response to GPT is not it.,把你所有的东西都扔过围栏来回应GPT并不是解决办法。,倾尽全力去应对GPT并不是解决办法。,倾尽全力来回应GPT并不是解决办法。,把你所有的一切都扔掉去回复 GPT 似乎适得其反。
110,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",如果我尝试计算我的一重复最大重量，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害/杀死我。,如果我尝试估算我的一重复最大重量（1RM），我可能没有足够的重量来达到这个最大值，或者相反，这可能会导致严重受伤甚至死亡。,如果我尝试计算我的一重复最大重量是多少，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害或杀死我。,如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
111,I swear burrata didn't exist five years ago,我发誓五年前根本没有布拉塔奶酪。,我发誓五年前没有布拉塔。,我发誓五年前根本没有burrata。,我敢肯定五年前布拉塔芝士不存在
112,This is my personal Mandela effect thing.,这是我个人的曼德拉效应现象。,这是我个人的曼德拉效应。,这是我个人的曼德拉效应现象。,这东西是我自身的曼德拉效应造成的。
113,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,我从未见过谁的妈妈做过，也没有在聚会上被塞给过，也没有在任何人的调味或烘焙日中出现过。,我从未见过谁的妈妈做过这种东西，也没有在聚会上被硬塞给过，也没有在任何人的酱料制作或烘焙活动中见过。,我从未见过谁的妈妈做过，也没有在聚会上被硬塞给我，也没有在任何人的调味或烘焙日中出现过。,我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
114,It just appeared one day and suddenly it was available everywhere.,有一天它突然出现，然后到处都能买到。,有一天它突然出现，随后便随处可见。,有一天它突然出现，然后到处都能看到。,有一天它出现了，突然它变得随处可见。
115,"This would be mainly for web browsing, occasional email, and some games.",这主要用于网页浏览、偶尔的电子邮件和一些游戏。,这主要用于浏览网页、偶尔收发电子邮件和玩一些游戏。,这主要用于网页浏览、偶尔的电子邮件和一些游戏。,它将主要用于浏览网页、偶尔收发电子邮件或者玩游戏。
116,"""A good game is only late until it ships.",好游戏只会迟到，直到它发货。,好游戏只会迟到，直到它发布为止。,好游戏可能会延期，但一旦发布，延迟就被遗忘了。,“一款好游戏只有在上市后才会被发掘。
117,"""Or, as an industry catch phrase goes: A late game is only late until it ships.",或者，正如行业流行语所说：一款跳票的游戏只会在发售前跳票。,或者，正如行业流行语所说：一款延期的游戏只会延期到发售为止。,或者，正如行业流行语所说：一款跳票的游戏在发售后就不再算跳票了。,“或者，正如一句行业流行语所说：一款迟到的游戏只有在它发售时才算迟到。
118,Is it so ephemeral then?,那么它是如此短暂吗？,它真的如此转瞬即逝吗？,那么它是如此短暂吗？,它真的稍纵即逝？
119,"He carries it in his mouth proudly all over the house, and I just have to laugh inwardly.",他骄傲地把它叼在嘴里，满屋子走，我只能在心里偷笑。,他骄傲地把它叼在嘴里，在屋子里到处走，我只能在心里暗笑。,他骄傲地把它叼在嘴里，满屋子走，我只能在心里偷笑。,他骄傲地叼着它满屋跑，我只能暗自发笑。
120,Have now done a full round trip on the new ICNG train.,现在已经乘坐新的ICNG列车完成了一次往返旅程。,现在已经搭乘新的ICNG列车完成了一次完整的往返旅程。,现在已经乘坐新的ICNG列车完成了一次完整的往返旅程。,我现在已经在新 ICNG 列车上完成了一次完整的往返旅行。
121,I really like it.,我真的很喜欢。,我非常喜欢它。,我真的很喜欢。,我很喜欢这个列车。
122,There's areas that could use some polish.,有些地方需要润色。,有些地方还可以进一步完善。,有些领域需要润色。,有些地方有待提高。
123,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",即缺乏足够的垃圾桶，也缺乏解释灯光颜色意义的标志。,即缺乏足够的垃圾箱，也缺乏用于解释灯光颜色重要性的标识牌。,即缺乏足够的垃圾桶；也缺乏解释灯光颜色意义的标志。,比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
124,"Fix those minor issues, and then can we have more of these please?",修复那些小问题，然后我们可以多要一些吗？,修复那些小问题。然后，我们可以多要一些这样的东西吗？,修复那些小问题，然后我们可以多要一些吗？,解决这些小问题，然后我们还会有更多这样的小问题吗？
125,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,每位顾客限购一块，以确保每位排队的人都能买到一块。,每位顾客限购一块板，我们努力确保每位排队的人都能买到。,每位顾客限购一块，以确保每位排队的人都能拿到一块。,人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
126,"You can buy ONE of the boards listed above, not one of each.",您可以购买上面列出的其中一块板，而不是每种都买一块。,您可以购买上面列出的其中一个板，而不是每种都买一个。,您可以购买上面列出的其中一块板，而不是每种都买。,你可以买上面列出的一种板，而不是每种各买一个。
127,Yesterday I had the best time with my friend and former rabbi colleague.,昨天我和我的朋友兼前拉比同事度过了最美好的时光。,昨天我和我的朋友兼曾经是拉比的同事享受了愉快的时光。,昨天我和我的朋友兼前拉比同事度过了最美好的时光。,昨天我和我的朋友也是之前的拉比同事玩得很开心。
128,We visited for a couple hours on my porch.,我们在我的门廊上待了几个小时。,我们在我家聊了几个小时。,我们在我的门廊上待了两个小时。,在我的走廊，我们一同度过了几个小时。
129,We all have stories to tell.,我们都有故事要讲。,我们每个人都有故事要讲。,我们都有故事要讲。,我们都有相告彼此的故事。
130,I quite like akkoma the software and the domain name I got for my instance.,我非常喜欢 Akkoma 这个软件和我为我的实例获得的域名。,我挺喜欢 Akkoma 这个软件和我为我的实例获得的域名。,我挺喜欢 Akkoma 这个软件和我为我的实例获得的域名。,我很喜欢 akkoma 软件还有我为我的实例申请的域名。
131,"But I feel somehow I started this instance on the wrong foot, so to speak.",但我觉得不知怎么地，我在这个情况下有点不太顺利，可以这么说。,但我觉得不知为何，我在这个情况下有些不顺。,但我觉得不知怎么地，我在这个情况下有点开局不利，可以这么说。,但我觉得不知何故，我一开始就走错了路，可以这么说。
132,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,Repnid在地表下挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,Repnid在地表下挖掘隧道。你掉入了下面洞穴中汹涌翻腾的数百个Repnid身体之中。,Repnid在地表下持续挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
133,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",结局迅速，几对毒牙注入致命的毒液，迪斯克拉的空气污染了你的肺部。,结局迅速，几对毒牙注入致命毒液，Dyskra的空气污染了你的肺部。,结局迅速，几对毒牙注入了致命的毒液，迪斯克拉特有的空气污染了你的肺部。,很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
134,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八眼的Repnids似乎在注视着你，但它们没有向你移动，事实上，当你慢慢走向它们时，它们一动不动。,八眼的Repnids似乎在注视着你，但它们没有向你移动。事实上，当你慢慢走向它们时，它们仍然一动不动。,八眼的Repnids似乎在注视着你，但它们没有向你移动，事实上，当你慢慢走向它们时，它们一动不动。,八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你慢慢走向它们时，它们是静止的。
135,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.",你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于混乱状态。,你决定再次建立联系会很危险，于是返回飞行器。这次经历让你的头脑清醒了，自从你跳入未来以来，你的头脑一直处于混乱状态。,你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于困惑状态。,你想到，再次建立沟通会很危险，然后你回到你的飞行器上，但是这一经历已经清除了你的头脑，自从你跳入未来以来，你的头脑一直是混乱的。
136,I started a new shawl.,我开始了一条新的披肩。,我开始织一条新的披肩。,我开始了一条新的披肩。,我开始做新披肩。
137,I am using a H hook with a similar double crochet pattern as I have done before.,我正在使用H钩和以前相似的长针图案。,我正在使用H号钩针和以前用过的相似的长针钩编图案。,我正在使用H钩和以前一样的长长针图案。,我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
138,The literature class hatred is even worse: I love to read.,文学课的仇恨更严重：我喜欢阅读。,我对文学课的厌恶更深：我喜欢阅读。,文学课上的仇恨更糟糕，我却喜欢阅读。,我对文学课的厌恶更不可一世：我喜欢读书。
139,Humanity is out in 5 days.,人类将在5天后消失。,人类将在五天后结束。,人类将在5天后出局。,《Humanity》五天后发布。
140,What will people think of it?,人们会怎么想？,大家会怎么想呢？,人们会怎么想它呢？,大家会怎么看？
141,Came home on my lunch break to see this sitting outside uwu.,午休时回家看到这个坐在外面uwu。,午休时回家看到这个放在外面。,午休时回家，看到这个东西放在外面uwu。,我在午休时回到家，在威斯康辛大学外面看到这句话。
142,Wish I could take it back to work with me to setup more.,希望我能把它带回去工作，设置更多。,希望我能把它带回去工作，进行更多设置。,希望我能把它带回去工作，进行更多的设置。,希望我可以把它带回去和我一起工作，创造更多可能。
143,So I finally watched #Heartstopper,所以我终于看了《心跳漏一拍》。,所以我终于看了《心跳停停》。,所以我终于看了#Heartstopper。,然后我终于观看了 #Heartstopper
144,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.",但重要的是不要为问题找借口，而是要解决它们，尤其是在生产中当你的主管需要更改时。,但重要的是不要为问题找借口，而是要立即解决它们，尤其是在生产中，当你的负责人需要更改时。,但重要的是不要为问题找借口，而是要解决它们，尤其是在生产中当你的主管需要更改时。,但重要的是，没有借口，只需去解决它，尤其是在生产中，你的领导要求改变时。
145,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",好的批评是为了迅速纠正问题，并不是针对你的能力。,好的反馈旨在迅速纠正问题，并不是针对你的能力。,好的批评是为了迅速纠正问题，而不是针对你的能力。,好的评判是为了让你快速改变错误的做法，而不是针对你的能力。
146,These roots are hidden.,这些根是隐藏的。,这些根是被隐藏的。,这些根被隐藏起来了。,这些根被隐藏起来。
147,Work is not visible.,工作不可见。,工作不明显。,工作的成果不可见。,工作看不到结果。
148,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,他等到在铺位房间的黑暗中才拿出纸条，在透过遮光窗帘的光束中读了起来。,他等到在卧室的黑暗中才把纸条拿出来，在透过遮光窗帘的光线下读了起来。,他等到在铺位房间的黑暗中才拿出纸条，在透过遮光窗帘的光束中读了起来。,他一直在宿舍等到天黑，才抽出纸条，在透过遮光窗帘射进来的一束光线下读了起来。
149,I've met some marvelous new #Mastodon mates lately and want to maintain the trend.,最近我认识了一些很棒的新的 #Mastodon 朋友，并希望保持这种趋势。,最近我认识了一些很棒的新的#Mastodon伙伴，并希望继续这种趋势。,最近我认识了一些很棒的新的 #Mastodon 朋友，并希望保持这种趋势。,我最近新遇到一些非常厉害的 #Mastodon 伙伴，我想继续结识一些这样的人。
